Tiempo ,CONTROL,PID,ANGULO,REFERENC,PERTURBA
3,0.098,0.098,-0.011,0,0
3.02,0.089,0.089,-0.002,0,0
3.04,0.079,0.079,0.007,0,0
3.06,0.07,0.07,0.015,0,0
3.08,0.061,0.061,0.022,0,0
3.1,0.052,0.052,0.029,0,0
3.12,0.045,0.045,0.034,0,0
3.14,0.037,0.037,0.04,0,0
3.16,0.031,0.031,0.043,0,0
3.18,0.025,0.025,0.047,0,0
3.2,0.022,0.022,0.047,0,0
3.22,0.017,0.017,0.048,0,0
3.24,0.015,0.015,0.047,0,0
3.26,0.014,0.014,0.045,0,0
3.28,0.014,0.014,0.041,0,0
3.3,0.015,0.015,0.038,0,0
3.32,0.017,0.017,0.033,0,0
3.34,0.021,0.021,0.026,0,0
3.36,0.025,0.025,0.019,0,0
3.38,0.029,0.029,0.012,0,0
3.4,0.036,0.036,0.003,0,0
3.42,0.044,0.044,-0.007,0,0
3.44,0.052,0.052,-0.018,0,0
3.46,0.061,0.061,-0.028,0,0
3.48,0.07,0.07,-0.039,0,0
3.5,0.081,0.081,-0.051,0,0
3.52,0.091,0.091,-0.062,0,0
3.54,0.103,0.103,-0.074,0,0
3.56,0.115,0.115,-0.086,0,0
3.58,0.127,0.127,-0.096,0,0
3.6,0.139,0.139,-0.109,0,0
3.62,0.151,0.151,-0.119,0,0
3.64,0.163,0.163,-0.13,0,0
3.66,0.176,0.176,-0.14,0,0
3.68,0.187,0.187,-0.149,0,0
3.7,0.197,0.197,-0.156,0,0
3.72,0.207,0.207,-0.163,0,0
3.74,0.215,0.215,-0.168,0,0
3.76,0.224,0.224,-0.173,0,0
3.78,0.23,0.23,-0.175,0,0
3.8,0.236,0.236,-0.177,0,0
3.82,0.24,0.24,-0.177,0,0
3.84,0.242,0.242,-0.175,0,0
3.86,0.243,0.243,-0.172,0,0
3.88,0.243,0.243,-0.166,0,0
3.9,0.24,0.24,-0.159,0,0
3.92,0.237,0.237,-0.152,0,0
3.94,0.231,0.231,-0.142,0,0
3.96,0.225,0.225,-0.131,0,0
3.98,0.216,0.216,-0.119,0,0
4,0.206,0.206,-0.105,0,0
4.02,0.195,0.195,-0.091,0,0
4.04,0.182,0.182,-0.076,0,0
4.06,0.168,0.168,-0.06,0,0
4.08,0.154,0.154,-0.044,0,0
4.1,0.14,0.14,-0.028,0,0
4.12,0.123,0.123,-0.011,0,0
4.14,0.107,0.107,0.005,0,0
4.16,0.091,0.091,0.02,0,0
4.18,0.076,0.076,0.034,0,0
4.2,0.059,0.059,0.05,0,0
4.22,0.044,0.044,0.062,0,0
4.24,0.03,0.03,0.075,0,0
4.26,0.016,0.016,0.085,0,0
4.28,0.004,0.004,0.094,0,0
4.3,0,-0.007,0.101,0,0
4.32,0,-0.019,0.108,0,0
4.34,0,-0.027,0.111,0,0
4.36,0,-0.035,0.115,0,0
4.38,0,-0.04,0.115,0,0
4.4,0,-0.045,0.115,0,0
4.42,0,-0.049,0.113,0,0
4.44,0,-0.049,0.108,0,0
4.46,0,-0.049,0.102,0,0
4.48,0,-0.047,0.096,0,0
4.5,0,-0.043,0.087,0,0
4.52,0,-0.037,0.076,0,0
4.54,0,-0.031,0.066,0,0
4.56,0,-0.022,0.052,0,0
4.58,0,-0.013,0.04,0,0
4.6,0,-0.001,0.024,0,0
4.62,0.012,0.012,0.008,0,0
4.64,0.025,0.025,-0.007,0,0
