Tiempo ;Entrada;Angulo;Posicion
4.48;0;-0.066;0.267
4.5;0;-0.136;0.267
4.52;0;-0.204;0.267
4.54;0;-0.269;0.267
4.56;0;-0.33;0.267
4.58;0;-0.386;0.267
4.6;0;-0.438;0.267
4.62;0;-0.483;0.267
4.64;0;-0.522;0.267
4.66;0;-0.552;0.267
4.68;0;-0.576;0.267
4.7;0;-0.592;0.267
4.72;0;-0.599;0.267
4.74;0;-0.599;0.267
4.76;0;-0.588;0.267
4.78;0;-0.569;0.267
4.8;0;-0.543;0.267
4.82;0;-0.51;0.267
4.84;0;-0.468;0.267
4.86;0;-0.421;0.267
4.88;0;-0.367;0.267
4.9;0;-0.309;0.267
4.92;0;-0.244;0.267
4.94;0;-0.18;0.267
4.96;0;-0.11;0.267
4.98;0;-0.04;0.267
5;0;0.031;0.267
5.02;0;0.101;0.267
5.04;0;0.171;0.267
5.06;0;0.237;0.267
5.08;0;0.298;0.267
5.1;0;0.358;0.267
5.12;0;0.412;0.267
5.14;0;0.459;0.267
5.16;0;0.499;0.267
5.18;0;0.534;0.267
5.2;0;0.56;0.267
5.22;0;0.578;0.267
5.24;0;0.59;0.267
5.26;0;0.592;0.267
5.28;0;0.586;0.267
5.3;0;0.572;0.267
5.32;0;0.55;0.267
5.34;0;0.518;0.267
5.36;0;0.482;0.267
5.38;0;0.436;0.267
5.4;0;0.386;0.267
5.42;0;0.33;0.267
5.44;0;0.269;0.267
5.46;0;0.206;0.267
5.48;0;0.138;0.267
5.5;0;0.068;0.267
5.52;0;-0.002;0.267
5.54;0;-0.072;0.267
5.56;0;-0.141;0.267
5.58;0;-0.208;0.267
5.6;0;-0.272;0.267
5.62;0;-0.332;0.267
5.64;0;-0.387;0.267
5.66;0;-0.438;0.267
5.68;0;-0.482;0.267
5.7;0;-0.518;0.267
5.72;0;-0.548;0.267
5.74;0;-0.571;0.267
5.76;0;-0.586;0.267
5.78;0;-0.592;0.267
5.8;0;-0.592;0.267
5.82;0;-0.579;0.267
5.84;0;-0.562;0.267
5.86;0;-0.536;0.267
5.88;0;-0.501;0.267
5.9;0;-0.459;0.267
5.92;0;-0.412;0.267
5.94;0;-0.358;0.267
5.96;0;-0.3;0.267
5.98;0;-0.237;0.267
6;0;-0.173;0.267
6.02;0;-0.103;0.267
6.04;0;-0.033;0.267
6.06;0;0.037;0.267
6.08;0;0.105;0.267
6.1;0;0.175;0.267
6.12;0;0.239;0.267
6.14;0;0.3;0.267
6.16;0;0.358;0.267
6.18;0;0.41;0.267
6.2;0;0.457;0.267
6.22;0;0.497;0.267
6.24;0;0.531;0.267
6.26;0;0.557;0.267
6.28;0;0.574;0.267
6.3;0;0.583;0.267
6.32;0;0.585;0.267
6.34;0;0.579;0.267
6.36;0;0.565;0.267
6.38;0;0.543;0.267
6.4;0;0.511;0.267
6.42;0;0.473;0.267
6.44;0;0.429;0.267
6.46;0;0.379;0.267
6.48;0;0.323;0.267
6.5;0;0.262;0.267
6.52;0;0.199;0.267
6.54;0;0.131;0.267
6.56;0;0.063;0.267
6.58;0;-0.007;0.267
6.6;0;-0.077;0.267
6.62;0;-0.145;0.267
6.64;0;-0.211;0.267
6.66;0;-0.274;0.267
6.68;0;-0.333;0.267
6.7;0;-0.387;0.267
6.72;0;-0.436;0.267
6.74;0;-0.48;0.267
6.76;0;-0.517;0.267
6.78;0;-0.545;0.267
6.8;0;-0.567;0.267
6.82;0;-0.579;0.267
6.84;0;-0.586;0.267
6.86;0;-0.585;0.267
6.88;0;-0.572;0.267
6.9;0;-0.553;0.267
6.92;0;-0.527;0.267
6.94;0;-0.492;0.267
6.96;0;-0.452;0.267
6.98;0;-0.403;0.267
7;0;-0.351;0.267
7.02;0;-0.293;0.267
7.04;0;-0.23;0.267
7.06;0;-0.164;0.267
7.08;0;-0.096;0.267
7.1;0;-0.028;0.267
7.12;0;0.042;0.267
7.14;0;0.11;0.267
7.16;0;0.176;0.267
7.18;0;0.241;0.267
7.2;0;0.302;0.267
7.22;0;0.358;0.267
7.24;0;0.41;0.267
7.26;0;0.456;0.267
7.28;0;0.494;0.267
