Tiempo ,ANGULO,ENTRADA,ESTIMULO,PERTURBA
3.88,-0.086,0,0,0
3.9,-0.086,0,0,0
3.92,-0.086,0,0,0
3.94,-0.086,0,0,0
3.96,-0.086,0,0,0
3.98,-0.086,0,0,0
4,-0.086,0,0,0
4.02,-0.086,0,0,0
4.04,-0.086,0,0,0
4.06,-0.086,0,0,0
4.08,-0.086,0,0,0
4.1,-0.086,0,0,0
4.12,-0.086,0,0,0
4.14,-0.086,0,0,0
4.16,-0.086,0,0,0
4.18,-0.086,0,0,0
4.2,-0.086,0,0,0
4.22,-0.086,0,0,0
4.24,-0.086,0,0,0
4.26,-0.086,0,0,0
4.28,-0.086,0,0,0
4.3,-0.086,0,0,0
4.32,-0.086,0,0,0
4.34,-0.086,0,0,0
4.36,-0.086,0,0,0
4.38,-0.086,0,0,0
4.4,-0.086,0,0,0
4.42,-0.086,0,0,0
4.44,-0.086,0,0,0
4.46,-0.086,0,0,0
4.48,-0.086,0,0,0
4.5,-0.086,0,0,0
4.52,-0.086,0,0,0
4.54,-0.086,0,0,0
4.56,-0.086,0,0,0
4.58,-0.086,0,0,0
4.6,-0.086,0,0,0
4.62,-0.086,0,0,0
4.64,-0.086,0,0,0
4.66,-0.086,0,0,0
4.68,-0.086,0,0,0
4.7,-0.086,0,0,0
4.72,-0.086,0,0,0
4.74,-0.086,0,0,0
4.76,-0.086,0,0,0
4.78,-0.086,0,0,0
4.8,-0.086,0,0,0
4.82,-0.086,0,0,0
4.84,-0.086,0,0,0
4.86,-0.086,0,0,0
4.88,-0.086,0,0,0
4.9,-0.086,0,0,0
4.92,-0.086,0,0,0
4.94,-0.086,0,0,0
4.96,-0.086,0,0,0
4.98,-0.086,0,0,0
5,-0.086,0,0,0
5.02,-0.086,0,0,0
5.04,-0.086,0.003,0.003,0
5.06,-0.086,0.006,0.006,0
5.08,-0.086,0.01,0.01,0
5.1,-0.086,0.013,0.013,0
5.12,-0.086,0.016,0.016,0
